epoch,loss,valid_hit@10,valid_mrr,seconds
1,2.514024,0.688245,0.4961,2.6
2,1.293093,0.695741,0.507574,2.2
3,1.20999,0.699148,0.507246,2.3
4,1.158249,0.706303,0.512265,2.3
5,1.129458,0.708007,0.512983,2.3
6,1.108022,0.709199,0.513043,2.3
7,1.088488,0.706644,0.512576,2.3
8,1.069609,0.70937,0.512616,2.3
9,1.049973,0.707155,0.513733,2.3
10,1.030279,0.705451,0.511897,2.2
11,1.011429,0.7,0.512769,2.3
12,0.992958,0.698808,0.512013,2.3
13,0.975974,0.698637,0.513824,2.3
14,0.958593,0.69983,0.513811,2.3
15,0.943236,0.701363,0.513219,2.3
16,0.929251,0.703237,0.512993,2.3
17,0.915754,0.702044,0.513351,2.2
18,0.904305,0.70017,0.511531,2.3
19,0.893445,0.693356,0.511472,2.2
20,0.883673,0.696423,0.51458,2.3
