epoch,loss,valid_hit@10,valid_mrr,seconds
1,2.238045,0.322147,0.155496,2.4
2,2.122898,0.321635,0.161401,2.1
3,2.075984,0.32862,0.164541,2.1
4,2.033528,0.328961,0.168109,2.1
5,1.982834,0.344634,0.173927,2.1
6,1.928987,0.350937,0.182595,2.1
7,1.880008,0.352811,0.185259,2.1
8,1.837101,0.358092,0.191593,2.1
9,1.798445,0.363714,0.197337,2.1
10,1.764482,0.365928,0.199978,2.1
11,1.734984,0.371721,0.202317,2.1
12,1.709767,0.374787,0.206624,2.1
13,1.688178,0.37138,0.207629,2.1
14,1.668166,0.38109,0.214701,2.1
15,1.649479,0.381261,0.217115,2.2
16,1.632427,0.382964,0.217714,2.1
17,1.617595,0.383475,0.221809,2.1
18,1.605998,0.389779,0.224199,2.1
19,1.593851,0.386542,0.222365,2.1
20,1.581383,0.392504,0.223564,2.1
