d64-b2-L200-do0.2,5,0.813102,0.664901,0.394286
d64-b2-L200-do0.2,10,0.669275,0.760762,0.482719
d64-b2-L200-do0.2,15,0.612618,0.785762,0.512575
d64-b2-L200-do0.2,20,0.581883,0.799669,0.532029
d64-b2-L200-do0.2,25,0.559581,0.807285,0.543208
d64-b2-L200-do0.2,30,0.544092,0.813245,0.547543
d64-b2-L200-do0.2,35,0.532841,0.817881,0.553052
d64-b2-L200-do0.2,40,0.523289,0.818543,0.553468
d64-b2-L200-do0.2,11,0.509597,0.818212,0.560280
d64-b2-L200-do0.2,22,0.498673,0.820695,0.561333
d64-b2-L200-do0.2,33,0.493742,0.821026,0.562459
d64-b2-L200-do0.2,44,0.490061,0.819040,0.563488
d64-b2-L200-do0.2,55,0.481936,0.824503,0.564872
d64-b2-L200-do0.2,66,0.477902,0.822682,0.564793
d64-b2-L200-do0.2,77,0.476842,0.822517,0.566038
d64-b2-L200-do0.2,88,0.475155,0.823013,0.567283
ablation-d128,15,0.542114,0.806788,0.527351
ablation-d128,30,0.471424,0.812914,0.539562
ablation-b3,15,0.609764,0.782781,0.514568
ablation-b3,30,0.531254,0.816225,0.549169
ablation-L50,15,0.622245,0.773510,0.504429
ablation-L50,30,0.533831,0.793046,0.530680
ablation-do05,15,0.685824,0.758940,0.483220
ablation-do05,30,0.637470,0.791722,0.518627
ml25m-20k,3,0.325610,0.947000,0.693691
d64-b2-L200-do0.2,1,1.166710,0.380000,0.198331
ablation-d128,10,0.599530,0.786589,0.504254
ablation-d128,20,0.509805,0.809768,0.534619
ablation-d128,30,0.471424,0.812914,0.539562
ablation-d128,40,0.450242,0.813245,0.538707
ablation-d128,50,0.434591,0.816225,0.540992
ablation-d128,60,0.424866,0.818212,0.540672
ablation-d128,70,0.417340,0.815894,0.541999
ablation-d128,80,0.410291,0.814238,0.541700
ablation-d128,90,0.405924,0.815563,0.541123
ablation-d128,100,0.402470,0.815563,0.540359
ablation-b3,10,0.670049,0.755464,0.480469
ablation-b3,20,0.573173,0.797848,0.528455
ablation-b3,30,0.531254,0.816225,0.549169
ablation-b3,40,0.510965,0.822517,0.559254
ablation-b3,50,0.496311,0.824338,0.563599
ablation-b3,60,0.487092,0.825828,0.566177
ablation-b3,70,0.478503,0.826656,0.572097
ablation-b3,80,0.476261,0.827980,0.571638
ablation-b3,90,0.468807,0.830298,0.572560
ablation-b3,100,0.464778,0.828477,0.575045
ablation-L50,10,0.689501,0.749338,0.470990
ablation-L50,20,0.585382,0.784106,0.519289
ablation-L50,30,0.533831,0.793046,0.530680
ablation-L50,40,0.502832,0.800331,0.537679
ablation-L50,50,0.484047,0.799834,0.536097
ablation-L50,60,0.472762,0.797185,0.536095
ablation-L50,70,0.458910,0.791060,0.535566
ablation-L50,80,0.455067,0.790894,0.532698
ablation-L50,90,0.446084,0.793046,0.534817
ablation-L50,100,0.441035,0.791887,0.532988
ablation-do05,10,0.731804,0.724338,0.448637
ablation-do05,20,0.663240,0.775497,0.503110
ablation-do05,30,0.637470,0.791722,0.518627
ablation-do05,40,0.623279,0.799338,0.525697
ablation-do05,50,0.614303,0.802815,0.530840
ablation-do05,60,0.608121,0.803974,0.533056
ablation-do05,70,0.604252,0.806291,0.536237
ablation-do05,80,0.604026,0.808278,0.537804
ablation-do05,90,0.598963,0.809272,0.540664
ablation-do05,100,0.595666,0.808444,0.541766
