dim32-lr0.01-wd0.0,2026-07-18 10:57:22,1,4.755626,0.010698,0.004634,0.7
dim32-lr0.01-wd0.0,2026-07-18 10:57:22,2,0.795104,0.023649,0.011714,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:23,3,0.725160,0.030405,0.014199,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:23,4,0.674860,0.031813,0.015453,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:24,5,0.633617,0.032658,0.015625,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:24,6,0.598209,0.025901,0.013445,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:25,7,0.569259,0.024493,0.012080,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:26,8,0.548438,0.025619,0.011388,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:26,9,0.531801,0.019426,0.008737,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:27,10,0.519646,0.019426,0.008440,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:27,11,0.509572,0.014921,0.006273,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:28,12,0.501638,0.013232,0.005797,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:29,13,0.495577,0.011261,0.004396,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:29,14,0.490134,0.010135,0.004337,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:30,15,0.485246,0.008727,0.003366,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:30,16,0.481535,0.010698,0.003973,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:31,17,0.477976,0.007320,0.002962,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:32,18,0.474846,0.006475,0.002553,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:32,19,0.472119,0.005631,0.001858,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:33,20,0.470008,0.004505,0.001822,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:33,21,0.467594,0.003660,0.001417,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:34,22,0.466070,0.004505,0.001591,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:34,23,0.464068,0.003660,0.001257,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:35,24,0.462706,0.002815,0.001025,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:36,25,0.460814,0.002815,0.001024,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:36,26,0.459421,0.001971,0.000739,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:37,27,0.458166,0.002252,0.000884,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:37,28,0.456606,0.002252,0.000793,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:38,29,0.455867,0.001689,0.000694,0.6
dim32-lr0.01-wd0.0,2026-07-18 10:57:39,30,0.454620,0.001689,0.000851,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:44,1,7.390475,0.039414,0.019558,0.7
dim32-lr0.005-wd1e-05,2026-07-18 10:57:45,2,0.861491,0.024493,0.011689,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:46,3,0.788802,0.033502,0.016904,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:46,4,0.752857,0.039977,0.018396,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:47,5,0.726542,0.041385,0.019612,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:47,6,0.703476,0.045327,0.022216,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:48,7,0.682506,0.043919,0.021366,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:49,8,0.663780,0.051802,0.025389,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:49,9,0.645325,0.054899,0.026244,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:50,10,0.628456,0.055180,0.026602,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:50,11,0.611393,0.056306,0.027198,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:51,12,0.595438,0.055462,0.026720,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:52,13,0.580916,0.061937,0.029391,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:52,14,0.567482,0.059122,0.029611,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:53,15,0.555688,0.061092,0.030339,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:53,16,0.545196,0.056025,0.028557,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:54,17,0.536372,0.057714,0.029114,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:55,18,0.528672,0.054336,0.027538,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:55,19,0.522179,0.056588,0.028536,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:56,20,0.516942,0.056306,0.028581,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:56,21,0.512089,0.056588,0.029008,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:57,22,0.507979,0.057995,0.029246,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:58,23,0.504265,0.056869,0.028974,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:58,24,0.501340,0.056588,0.028333,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:59,25,0.498480,0.056588,0.028715,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:57:59,26,0.495872,0.054617,0.028163,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:58:00,27,0.493377,0.051802,0.026241,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:58:00,28,0.491253,0.053773,0.026794,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:58:01,29,0.489675,0.053209,0.027569,0.6
dim32-lr0.005-wd1e-05,2026-07-18 10:58:02,30,0.488010,0.052083,0.026042,0.6
dim32-lr0.01-wd0.0,2026-07-22 01:53:38,1,4.706994,0.016047,0.006018,1.3
