alpha,gamma,episodes,seed,success_rate,avg_return,avg_steps,elapsed_seconds
0.0,0.0,20,0,0.055,-1.0944,11.22,0.075498
0.0,0.0,20,1,0.065,-1.0511,10.055,0.053001
0.0,0.0,20,2,0.035,-1.0962,9.31,0.051001
0.0,0.0,20,3,0.045,-1.0826,9.63,0.0565
0.0,0.0,20,4,0.06,-1.0445,9.225,0.043499
0.0,0.0,20,5,0.05,-1.0807,10.035,0.047502
0.0,0.0,20,6,0.05,-1.0511,9.045,0.041499
0.0,0.0,20,7,0.04,-1.1017,10.085,0.048501
0.0,0.0,20,8,0.05,-1.0767,9.835,0.048
0.0,0.0,20,9,0.025,-1.1181,9.65,0.0475
0.0,0.0,20,10,0.03,-1.1128,9.64,0.052501
0.0,0.0,20,11,0.025,-1.1204,9.765,0.051999
0.0,0.0,20,12,0.04,-1.0759,9.04,0.0455
0.0,0.0,20,13,0.045,-1.0677,8.885,0.0515
0.0,0.0,20,14,0.03,-1.1158,9.79,0.049999
0.0,0.0,20,15,0.05,-1.06,9.245,0.048502
0.0,0.0,20,16,0.015,-1.1149,8.735,0.0465
0.0,0.0,20,17,0.02,-1.1024,8.365,0.057
0.0,0.0,20,18,0.035,-1.0943,9.215,0.051001
0.0,0.0,20,19,0.025,-1.1209,10.28,0.052
0.0,0.0,20,20,0.05,-1.0767,9.835,0.049999
0.0,0.0,20,21,0.045,-1.0581,8.405,0.047499
0.0,0.0,20,22,0.065,-1.059,10.45,0.054499
0.0,0.0,20,23,0.08,-0.9977,9.375,0.06
0.0,0.0,20,24,0.045,-1.0737,9.185,0.052001
0.0,0.0,20,25,0.03,-1.0884,8.42,0.0545
0.0,0.0,20,26,0.035,-1.0882,8.91,0.053001
0.0,0.0,20,27,0.02,-1.1135,8.92,0.052999
0.0,0.0,20,28,0.035,-1.0918,9.09,0.052
0.0,0.0,20,29,0.02,-1.1311,9.555,0.051999
0.0,0.0,20,30,0.055,-1.0606,9.53,0.051002
0.0,0.0,20,31,0.035,-1.0862,8.81,0.041
0.0,0.0,20,32,0.025,-1.0952,8.505,0.043499
0.0,0.0,20,33,0.03,-1.0956,9.025,0.0425
0.0,0.0,20,34,0.05,-1.0532,8.66,0.043501
0.0,0.0,20,35,0.06,-1.0474,9.37,0.046499
0.0,0.0,20,36,0.045,-1.0885,9.925,0.0515
0.0,0.0,20,37,0.065,-1.0462,10.055,0.058001
0.0,0.0,20,38,0.03,-1.1103,9.515,0.051
0.0,0.0,20,39,0.06,-1.0631,10.155,0.052
0.0,0.0,20,40,0.095,-0.9869,10.09,0.0545
0.0,0.0,20,41,0.055,-1.0653,9.765,0.0505
0.0,0.0,20,42,0.055,-1.0756,10.525,0.052999
0.0,0.0,20,43,0.045,-1.0749,9.245,0.044001
0.0,0.0,20,44,0.04,-1.0876,9.625,0.0535
0.0,0.0,20,45,0.055,-1.0541,9.205,0.059501
0.0,0.0,20,46,0.045,-1.0793,9.465,0.05
0.0,0.0,20,47,0.025,-1.1328,10.385,0.0555
0.0,0.0,20,48,0.04,-1.079,8.95,0.047501
0.0,0.0,20,49,0.07,-1.0493,10.465,0.052998
0.0,0.0,20,50,0.03,-1.1044,9.465,0.051499
0.0,0.0,20,51,0.05,-1.0662,9.555,0.053001
0.0,0.0,20,52,0.03,-1.1088,9.44,0.061501
0.0,0.0,20,53,0.08,-1.0175,9.875,0.053502
0.0,0.0,20,54,0.07,-1.0387,9.935,0.052498
0.0,0.0,20,55,0.03,-1.0994,8.97,0.046001
0.0,0.0,20,56,0.05,-1.0658,9.29,0.0505
0.0,0.0,20,57,0.055,-1.0638,9.69,0.048999
0.0,0.0,20,58,0.05,-1.0647,9.235,0.044001
0.0,0.0,20,59,0.065,-1.0288,9.185,0.042418
0.0,0.0,20,60,0.04,-1.0851,9.745,0.0475
0.0,0.0,20,61,0.035,-1.1033,9.665,0.050999
0.0,0.0,20,62,0.06,-1.0505,9.525,0.045501
0.0,0.0,20,63,0.045,-1.0705,10.005,0.051497
0.0,0.0,20,64,0.035,-1.0879,9.14,0.048499
0.0,0.0,20,65,0.03,-1.1088,9.685,0.055001
0.0,0.0,20,66,0.05,-1.082,10.345,0.060501
0.0,0.0,20,67,0.005,-1.1443,8.715,0.049502
0.0,0.0,20,68,0.05,-1.0682,9.41,0.046499
0.0,0.0,20,69,0.045,-1.0855,9.775,0.0435
0.0,0.0,20,70,0.035,-1.1058,9.79,0.047
0.0,0.0,20,71,0.03,-1.1223,10.115,0.048501
0.0,0.0,20,72,0.05,-1.0854,10.515,0.051
0.0,0.0,20,73,0.04,-1.066,8.545,0.0425
0.0,0.0,20,74,0.035,-1.0899,8.995,0.040499
0.0,0.0,20,75,0.05,-1.0745,10.215,0.0535
0.0,0.0,20,76,0.055,-1.0693,9.965,0.064
0.0,0.0,20,77,0.045,-1.0895,10.22,0.057501
0.0,0.0,20,78,0.045,-1.0825,9.87,0.053
0.0,0.0,20,79,0.035,-1.1233,10.665,0.054999
0.0,0.0,20,80,0.035,-1.0995,9.475,0.046502
0.0,0.0,20,81,0.07,-1.0308,9.54,0.050997
0.0,0.0,20,82,0.03,-1.0826,8.13,0.046001
0.0,0.0,20,83,0.03,-1.1194,9.97,0.064
0.0,0.0,20,84,0.04,-1.0928,9.885,0.0545
0.0,0.0,20,85,0.055,-1.0601,9.505,0.057001
0.0,0.0,20,86,0.025,-1.1148,9.485,0.056999
0.0,0.0,20,87,0.015,-1.1307,9.28,0.056999
0.0,0.0,20,88,0.045,-1.0944,10.71,0.0605
0.0,0.0,20,89,0.05,-1.0664,9.32,0.041501
0.0,0.0,20,90,0.04,-1.0922,9.61,0.047
0.0,0.0,20,91,0.06,-1.0456,9.28,0.047001
0.0,0.0,20,92,0.065,-1.0378,9.39,0.046999
0.0,0.0,20,93,0.045,-1.0735,9.175,0.0435
0.0,0.0,20,94,0.065,-1.038,9.645,0.054
0.0,0.0,20,95,0.035,-1.0918,9.335,0.056
0.0,0.0,20,96,0.055,-1.1001,11.505,0.065432
0.0,0.0,20,97,0.045,-1.0846,10.22,0.053
0.0,0.0,20,98,0.035,-1.0979,9.64,0.061998
0.0,0.0,20,99,0.045,-1.0832,9.66,0.0505
0.0,0.0,100,0,0.055,-1.0944,11.22,0.071001
0.0,0.0,100,1,0.065,-1.0511,10.055,0.0675
0.0,0.0,100,2,0.035,-1.0962,9.31,0.062
0.0,0.0,100,3,0.045,-1.0826,9.63,0.058501
0.0,0.0,100,4,0.06,-1.0445,9.225,0.0585
0.0,0.0,100,5,0.05,-1.0807,10.035,0.060502
0.0,0.0,100,6,0.05,-1.0511,9.045,0.055499
0.0,0.0,100,7,0.04,-1.1017,10.085,0.056998
0.0,0.0,100,8,0.05,-1.0767,9.835,0.064002
0.0,0.0,100,9,0.025,-1.1181,9.65,0.073499
0.0,0.0,100,10,0.03,-1.1128,9.64,0.067001
0.0,0.0,100,11,0.025,-1.1204,9.765,0.061001
0.0,0.0,100,12,0.04,-1.0759,9.04,0.063998
0.0,0.0,100,13,0.045,-1.0677,8.885,0.058003
0.0,0.0,100,14,0.03,-1.1158,9.79,0.067498
0.0,0.0,100,15,0.05,-1.06,9.245,0.0675
0.0,0.0,100,16,0.015,-1.1149,8.735,0.066998
0.0,0.0,100,17,0.02,-1.1024,8.365,0.065002
0.0,0.0,100,18,0.035,-1.0943,9.215,0.063501
0.0,0.0,100,19,0.025,-1.1209,10.28,0.069998
0.0,0.0,100,20,0.05,-1.0767,9.835,0.0585
0.0,0.0,100,21,0.045,-1.0581,8.405,0.051001
0.0,0.0,100,22,0.065,-1.059,10.45,0.0595
0.0,0.0,100,23,0.08,-0.9977,9.375,0.056001
0.0,0.0,100,24,0.045,-1.0737,9.185,0.0685
0.0,0.0,100,25,0.03,-1.0884,8.42,0.065499
0.0,0.0,100,26,0.035,-1.0882,8.91,0.064502
0.0,0.0,100,27,0.02,-1.1135,8.92,0.063501
0.0,0.0,100,28,0.035,-1.0918,9.09,0.070998
0.0,0.0,100,29,0.02,-1.1311,9.555,0.0745
0.0,0.0,100,30,0.055,-1.0606,9.53,0.066999
0.0,0.0,100,31,0.035,-1.0862,8.81,0.058999
0.0,0.0,100,32,0.025,-1.0952,8.505,0.059999
0.0,0.0,100,33,0.03,-1.0956,9.025,0.056501
0.0,0.0,100,34,0.05,-1.0532,8.66,0.051999
0.0,0.0,100,35,0.06,-1.0474,9.37,0.052999
0.0,0.0,100,36,0.045,-1.0885,9.925,0.059501
0.0,0.0,100,37,0.065,-1.0462,10.055,0.0615
0.0,0.0,100,38,0.03,-1.1103,9.515,0.058501
0.0,0.0,100,39,0.06,-1.0631,10.155,0.063498
0.0,0.0,100,40,0.095,-0.9869,10.09,0.071002
0.0,0.0,100,41,0.055,-1.0653,9.765,0.071002
0.0,0.0,100,42,0.055,-1.0756,10.525,0.074002
0.0,0.0,100,43,0.045,-1.0749,9.245,0.067497
0.0,0.0,100,44,0.04,-1.0876,9.625,0.075001
0.0,0.0,100,45,0.055,-1.0541,9.205,0.064999
0.0,0.0,100,46,0.045,-1.0793,9.465,0.062535
0.0,0.0,100,47,0.025,-1.1328,10.385,0.067964
0.0,0.0,100,48,0.04,-1.079,8.95,0.0635
0.0,0.0,100,49,0.07,-1.0493,10.465,0.070001
0.0,0.0,100,50,0.03,-1.1044,9.465,0.074001
0.0,0.0,100,51,0.05,-1.0662,9.555,0.0655
0.0,0.0,100,52,0.03,-1.1088,9.44,0.063001
0.0,0.0,100,53,0.08,-1.0175,9.875,0.064999
0.0,0.0,100,54,0.07,-1.0387,9.935,0.062499
0.0,0.0,100,55,0.03,-1.0994,8.97,0.0545
0.0,0.0,100,56,0.05,-1.0658,9.29,0.0595
0.0,0.0,100,57,0.055,-1.0638,9.69,0.06
0.0,0.0,100,58,0.05,-1.0647,9.235,0.06
0.0,0.0,100,59,0.065,-1.0288,9.185,0.066003
0.0,0.0,100,60,0.04,-1.0851,9.745,0.060999
0.0,0.0,100,61,0.035,-1.1033,9.665,0.066
0.0,0.0,100,62,0.06,-1.0505,9.525,0.067
0.0,0.0,100,63,0.045,-1.0705,10.005,0.062001
0.0,0.0,100,64,0.035,-1.0879,9.14,0.065498
0.0,0.0,100,65,0.03,-1.1088,9.685,0.0725
0.0,0.0,100,66,0.05,-1.082,10.345,0.070002
0.0,0.0,100,67,0.005,-1.1443,8.715,0.058999
0.0,0.0,100,68,0.05,-1.0682,9.41,0.068499
0.0,0.0,100,69,0.045,-1.0855,9.775,0.0645
0.0,0.0,100,70,0.035,-1.1058,9.79,0.071001
0.0,0.0,100,71,0.03,-1.1223,10.115,0.076
0.0,0.0,100,72,0.05,-1.0854,10.515,0.075999
0.0,0.0,100,73,0.04,-1.066,8.545,0.058
0.0,0.0,100,74,0.035,-1.0899,8.995,0.059
0.0,0.0,100,75,0.05,-1.0745,10.215,0.063003
0.0,0.0,100,76,0.055,-1.0693,9.965,0.058998
0.0,0.0,100,77,0.045,-1.0895,10.22,0.0585
0.0,0.0,100,78,0.045,-1.0825,9.87,0.061499
0.0,0.0,100,79,0.035,-1.1233,10.665,0.065502
0.0,0.0,100,80,0.035,-1.0995,9.475,0.0725
0.0,0.0,100,81,0.07,-1.0308,9.54,0.062999
0.0,0.0,100,82,0.03,-1.0826,8.13,0.058
0.0,0.0,100,83,0.03,-1.1194,9.97,0.067003
0.0,0.0,100,84,0.04,-1.0928,9.885,0.061997
0.0,0.0,100,85,0.055,-1.0601,9.505,0.063001
0.0,0.0,100,86,0.025,-1.1148,9.485,0.052999
0.0,0.0,100,87,0.015,-1.1307,9.28,0.058001
0.0,0.0,100,88,0.045,-1.0944,10.71,0.068498
0.0,0.0,100,89,0.05,-1.0664,9.32,0.075002
0.0,0.0,100,90,0.04,-1.0922,9.61,0.067999
0.0,0.0,100,91,0.06,-1.0456,9.28,0.063999
0.0,0.0,100,92,0.065,-1.0378,9.39,0.065
0.0,0.0,100,93,0.045,-1.0735,9.175,0.0655
0.0,0.0,100,94,0.065,-1.038,9.645,0.070501
0.0,0.0,100,95,0.035,-1.0918,9.335,0.075998
0.0,0.0,100,96,0.055,-1.1001,11.505,0.077
0.0,0.0,100,97,0.045,-1.0846,10.22,0.068
0.0,0.0,100,98,0.035,-1.0979,9.64,0.061
0.0,0.0,100,99,0.045,-1.0832,9.66,0.065501
0.0,0.0,500,0,0.055,-1.0944,11.22,0.126999
0.0,0.0,500,1,0.065,-1.0511,10.055,0.121001
0.0,0.0,500,2,0.035,-1.0962,9.31,0.132
0.0,0.0,500,3,0.045,-1.0826,9.63,0.128999
0.0,0.0,500,4,0.06,-1.0445,9.225,0.116501
0.0,0.0,500,5,0.05,-1.0807,10.035,0.1195
0.0,0.0,500,6,0.05,-1.0511,9.045,0.116001
0.0,0.0,500,7,0.04,-1.1017,10.085,0.1245
0.0,0.0,500,8,0.05,-1.0767,9.835,0.111999
0.0,0.0,500,9,0.025,-1.1181,9.65,0.140501
0.0,0.0,500,10,0.03,-1.1128,9.64,0.139999
0.0,0.0,500,11,0.025,-1.1204,9.765,0.123999
0.0,0.0,500,12,0.04,-1.0759,9.04,0.149505
0.0,0.0,500,13,0.045,-1.0677,8.885,0.127996
0.0,0.0,500,14,0.03,-1.1158,9.79,0.118001
0.0,0.0,500,15,0.05,-1.06,9.245,0.102499
0.0,0.0,500,16,0.015,-1.1149,8.735,0.104001
0.0,0.0,500,17,0.02,-1.1024,8.365,0.114501
0.0,0.0,500,18,0.035,-1.0943,9.215,0.119
0.0,0.0,500,19,0.025,-1.1209,10.28,0.127498
0.0,0.0,500,20,0.05,-1.0767,9.835,0.123501
0.0,0.0,500,21,0.045,-1.0581,8.405,0.112501
0.0,0.0,500,22,0.065,-1.059,10.45,0.1085
0.0,0.0,500,23,0.08,-0.9977,9.375,0.109999
0.0,0.0,500,24,0.045,-1.0737,9.185,0.1175
0.0,0.0,500,25,0.03,-1.0884,8.42,0.1145
0.0,0.0,500,26,0.035,-1.0882,8.91,0.126499
0.0,0.0,500,27,0.02,-1.1135,8.92,0.13
0.0,0.0,500,28,0.035,-1.0918,9.09,0.109
0.0,0.0,500,29,0.02,-1.1311,9.555,0.129499
0.0,0.0,500,30,0.055,-1.0606,9.53,0.139002
0.0,0.0,500,31,0.035,-1.0862,8.81,0.116999
0.0,0.0,500,32,0.025,-1.0952,8.505,0.116003
0.0,0.0,500,33,0.03,-1.0956,9.025,0.122498
0.0,0.0,500,34,0.05,-1.0532,8.66,0.125499
0.0,0.0,500,35,0.06,-1.0474,9.37,0.138001
0.0,0.0,500,36,0.045,-1.0885,9.925,0.14
0.0,0.0,500,37,0.065,-1.0462,10.055,0.144999
0.0,0.0,500,38,0.03,-1.1103,9.515,0.130001
0.0,0.0,500,39,0.06,-1.0631,10.155,0.129
0.0,0.0,500,40,0.095,-0.9869,10.09,0.149999
0.0,0.0,500,41,0.055,-1.0653,9.765,0.147501
0.0,0.0,500,42,0.055,-1.0756,10.525,0.137002
0.0,0.0,500,43,0.045,-1.0749,9.245,0.103498
0.0,0.0,500,44,0.04,-1.0876,9.625,0.128
0.0,0.0,500,45,0.055,-1.0541,9.205,0.170998
0.0,0.0,500,46,0.045,-1.0793,9.465,0.127001
0.0,0.0,500,47,0.025,-1.1328,10.385,0.1175
0.0,0.0,500,48,0.04,-1.079,8.95,0.112998
0.0,0.0,500,49,0.07,-1.0493,10.465,0.112001
0.0,0.0,500,50,0.03,-1.1044,9.465,0.125501
0.0,0.0,500,51,0.05,-1.0662,9.555,0.114498
0.0,0.0,500,52,0.03,-1.1088,9.44,0.115
0.0,0.0,500,53,0.08,-1.0175,9.875,0.138499
0.0,0.0,500,54,0.07,-1.0387,9.935,0.1275
0.0,0.0,500,55,0.03,-1.0994,8.97,0.098001
0.0,0.0,500,56,0.05,-1.0658,9.29,0.103499
0.0,0.0,500,57,0.055,-1.0638,9.69,0.114501
0.0,0.0,500,58,0.05,-1.0647,9.235,0.107999
0.0,0.0,500,59,0.065,-1.0288,9.185,0.122502
0.0,0.0,500,60,0.04,-1.0851,9.745,0.1125
0.0,0.0,500,61,0.035,-1.1033,9.665,0.111498
0.0,0.0,500,62,0.06,-1.0505,9.525,0.102
0.0,0.0,500,63,0.045,-1.0705,10.005,0.106502
0.0,0.0,500,64,0.035,-1.0879,9.14,0.1065
0.0,0.0,500,65,0.03,-1.1088,9.685,0.107999
0.0,0.0,500,66,0.05,-1.082,10.345,0.1295
0.0,0.0,500,67,0.005,-1.1443,8.715,0.116501
0.0,0.0,500,68,0.05,-1.0682,9.41,0.1165
0.0,0.0,500,69,0.045,-1.0855,9.775,0.1275
0.0,0.0,500,70,0.035,-1.1058,9.79,0.119503
0.0,0.0,500,71,0.03,-1.1223,10.115,0.111998
0.0,0.0,500,72,0.05,-1.0854,10.515,0.112001
0.0,0.0,500,73,0.04,-1.066,8.545,0.102501
0.0,0.0,500,74,0.035,-1.0899,8.995,0.113499
0.0,0.0,500,75,0.05,-1.0745,10.215,0.120502
0.0,0.0,500,76,0.055,-1.0693,9.965,0.13
0.0,0.0,500,77,0.045,-1.0895,10.22,0.120001
0.0,0.0,500,78,0.045,-1.0825,9.87,0.124
0.0,0.0,500,79,0.035,-1.1233,10.665,0.111499
0.0,0.0,500,80,0.035,-1.0995,9.475,0.1165
0.0,0.0,500,81,0.07,-1.0308,9.54,0.122002
0.0,0.0,500,82,0.03,-1.0826,8.13,0.116997
0.0,0.0,500,83,0.03,-1.1194,9.97,0.144501
0.0,0.0,500,84,0.04,-1.0928,9.885,0.123501
0.0,0.0,500,85,0.055,-1.0601,9.505,0.1185
0.0,0.0,500,86,0.025,-1.1148,9.485,0.1325
0.0,0.0,500,87,0.015,-1.1307,9.28,0.1235
0.0,0.0,500,88,0.045,-1.0944,10.71,0.123999
0.0,0.0,500,89,0.05,-1.0664,9.32,0.110501
0.0,0.0,500,90,0.04,-1.0922,9.61,0.113501
0.0,0.0,500,91,0.06,-1.0456,9.28,0.118497
0.0,0.0,500,92,0.065,-1.0378,9.39,0.113001
0.0,0.0,500,93,0.045,-1.0735,9.175,0.1135
0.0,0.0,500,94,0.065,-1.038,9.645,0.1085
0.0,0.0,500,95,0.035,-1.0918,9.335,0.1015
0.0,0.0,500,96,0.055,-1.1001,11.505,0.1135
0.0,0.0,500,97,0.045,-1.0846,10.22,0.1225
0.0,0.0,500,98,0.035,-1.0979,9.64,0.102999
0.0,0.0,500,99,0.045,-1.0832,9.66,0.106501
0.0,0.0,2000,0,0.055,-1.0944,11.22,0.315
0.0,0.0,2000,1,0.065,-1.0511,10.055,0.308002
0.0,0.0,2000,2,0.035,-1.0962,9.31,0.306499
0.0,0.0,2000,3,0.045,-1.0826,9.63,0.303999
0.0,0.0,2000,4,0.06,-1.0445,9.225,0.313501
0.0,0.0,2000,5,0.05,-1.0807,10.035,0.315999
0.0,0.0,2000,6,0.05,-1.0511,9.045,0.3195
0.0,0.0,2000,7,0.04,-1.1017,10.085,0.394002
0.0,0.0,2000,8,0.05,-1.0767,9.835,0.310498
0.0,0.0,2000,9,0.025,-1.1181,9.65,0.3245
0.0,0.0,2000,10,0.03,-1.1128,9.64,0.319501
0.0,0.0,2000,11,0.025,-1.1204,9.765,0.306499
0.0,0.0,2000,12,0.04,-1.0759,9.04,0.299002
0.0,0.0,2000,13,0.045,-1.0677,8.885,0.298998
0.0,0.0,2000,14,0.03,-1.1158,9.79,0.306001
0.0,0.0,2000,15,0.05,-1.06,9.245,0.305499
0.0,0.0,2000,16,0.015,-1.1149,8.735,0.301001
0.0,0.0,2000,17,0.02,-1.1024,8.365,0.291499
0.0,0.0,2000,18,0.035,-1.0943,9.215,0.325
0.0,0.0,2000,19,0.025,-1.1209,10.28,0.321499
0.0,0.0,2000,20,0.05,-1.0767,9.835,0.312002
0.0,0.0,2000,21,0.045,-1.0581,8.405,0.3005
0.0,0.0,2000,22,0.065,-1.059,10.45,0.316001
0.0,0.0,2000,23,0.08,-0.9977,9.375,0.317998
0.0,0.0,2000,24,0.045,-1.0737,9.185,0.314
0.0,0.0,2000,25,0.03,-1.0884,8.42,0.310001
0.0,0.0,2000,26,0.035,-1.0882,8.91,0.303
0.0,0.0,2000,27,0.02,-1.1135,8.92,0.303588
0.0,0.0,2000,28,0.035,-1.0918,9.09,0.295912
0.0,0.0,2000,29,0.02,-1.1311,9.555,0.313499
0.0,0.0,2000,30,0.055,-1.0606,9.53,0.308501
0.0,0.0,2000,31,0.035,-1.0862,8.81,0.304999
0.0,0.0,2000,32,0.025,-1.0952,8.505,0.301001
0.0,0.0,2000,33,0.03,-1.0956,9.025,0.306
0.0,0.0,2000,34,0.05,-1.0532,8.66,0.2995
0.0,0.0,2000,35,0.06,-1.0474,9.37,0.304
0.0,0.0,2000,36,0.045,-1.0885,9.925,0.304002
0.0,0.0,2000,37,0.065,-1.0462,10.055,0.293497
0.0,0.0,2000,38,0.03,-1.1103,9.515,0.294
0.0,0.0,2000,39,0.06,-1.0631,10.155,0.305001
0.0,0.0,2000,40,0.095,-0.9869,10.09,0.321
0.0,0.0,2000,41,0.055,-1.0653,9.765,0.307501
0.0,0.0,2000,42,0.055,-1.0756,10.525,0.310998
0.0,0.0,2000,43,0.045,-1.0749,9.245,0.3045
0.0,0.0,2000,44,0.04,-1.0876,9.625,0.302501
0.0,0.0,2000,45,0.055,-1.0541,9.205,0.309499
0.0,0.0,2000,46,0.045,-1.0793,9.465,0.332503
0.0,0.0,2000,47,0.025,-1.1328,10.385,0.340499
0.0,0.0,2000,48,0.04,-1.079,8.95,0.315999
0.0,0.0,2000,49,0.07,-1.0493,10.465,0.311999
0.0,0.0,2000,50,0.03,-1.1044,9.465,0.308999
0.0,0.0,2000,51,0.05,-1.0662,9.555,0.307502
0.0,0.0,2000,52,0.03,-1.1088,9.44,0.300499
0.0,0.0,2000,53,0.08,-1.0175,9.875,0.316501
0.0,0.0,2000,54,0.07,-1.0387,9.935,0.3645
0.0,0.0,2000,55,0.03,-1.0994,8.97,0.380498
0.0,0.0,2000,56,0.05,-1.0658,9.29,0.387501
0.0,0.0,2000,57,0.055,-1.0638,9.69,0.332998
0.0,0.0,2000,58,0.05,-1.0647,9.235,0.342001
0.0,0.0,2000,59,0.065,-1.0288,9.185,0.307998
0.0,0.0,2000,60,0.04,-1.0851,9.745,0.3115
0.0,0.0,2000,61,0.035,-1.1033,9.665,0.307
0.0,0.0,2000,62,0.06,-1.0505,9.525,0.309502
0.0,0.0,2000,63,0.045,-1.0705,10.005,0.307498
0.0,0.0,2000,64,0.035,-1.0879,9.14,0.3055
0.0,0.0,2000,65,0.03,-1.1088,9.685,0.3095
0.0,0.0,2000,66,0.05,-1.082,10.345,0.312499
0.0,0.0,2000,67,0.005,-1.1443,8.715,0.3105
0.0,0.0,2000,68,0.05,-1.0682,9.41,0.3155
0.0,0.0,2000,69,0.045,-1.0855,9.775,0.339999
0.0,0.0,2000,70,0.035,-1.1058,9.79,0.359
0.0,0.0,2000,71,0.03,-1.1223,10.115,0.339002
0.0,0.0,2000,72,0.05,-1.0854,10.515,0.358001
0.0,0.0,2000,73,0.04,-1.066,8.545,0.376498
0.0,0.0,2000,74,0.035,-1.0899,8.995,0.309
0.0,0.0,2000,75,0.05,-1.0745,10.215,0.310002
0.0,0.0,2000,76,0.055,-1.0693,9.965,0.321498
0.0,0.0,2000,77,0.045,-1.0895,10.22,0.324001
0.0,0.0,2000,78,0.045,-1.0825,9.87,0.320502
0.0,0.0,2000,79,0.035,-1.1233,10.665,0.308998
0.0,0.0,2000,80,0.035,-1.0995,9.475,0.302
0.0,0.0,2000,81,0.07,-1.0308,9.54,0.299001
0.0,0.0,2000,82,0.03,-1.0826,8.13,0.300999
0.0,0.0,2000,83,0.03,-1.1194,9.97,0.306502
0.0,0.0,2000,84,0.04,-1.0928,9.885,0.305997
0.0,0.0,2000,85,0.055,-1.0601,9.505,0.310001
0.0,0.0,2000,86,0.025,-1.1148,9.485,0.302999
0.0,0.0,2000,87,0.015,-1.1307,9.28,0.377001
0.0,0.0,2000,88,0.045,-1.0944,10.71,0.3305
0.0,0.0,2000,89,0.05,-1.0664,9.32,0.3085
0.0,0.0,2000,90,0.04,-1.0922,9.61,0.312999
0.0,0.0,2000,91,0.06,-1.0456,9.28,0.297001
0.0,0.0,2000,92,0.065,-1.0378,9.39,0.301
0.0,0.0,2000,93,0.045,-1.0735,9.175,0.3035
0.0,0.0,2000,94,0.065,-1.038,9.645,0.295498
0.0,0.0,2000,95,0.035,-1.0918,9.335,0.299501
0.0,0.0,2000,96,0.055,-1.1001,11.505,0.336501
0.0,0.0,2000,97,0.045,-1.0846,10.22,0.314499
0.0,0.0,2000,98,0.035,-1.0979,9.64,0.3055
0.0,0.0,2000,99,0.045,-1.0832,9.66,0.308
0.0,0.5,20,0,0.055,-1.0944,11.22,0.0505
0.0,0.5,20,1,0.065,-1.0511,10.055,0.0435
0.0,0.5,20,2,0.035,-1.0962,9.31,0.038498
0.0,0.5,20,3,0.045,-1.0826,9.63,0.043001
0.0,0.5,20,4,0.06,-1.0445,9.225,0.04
0.0,0.5,20,5,0.05,-1.0807,10.035,0.044001
0.0,0.5,20,6,0.05,-1.0511,9.045,0.0425
0.0,0.5,20,7,0.04,-1.1017,10.085,0.0465
0.0,0.5,20,8,0.05,-1.0767,9.835,0.043591
0.0,0.5,20,9,0.025,-1.1181,9.65,0.04441
0.0,0.5,20,10,0.03,-1.1128,9.64,0.046999
0.0,0.5,20,11,0.025,-1.1204,9.765,0.045001
0.0,0.5,20,12,0.04,-1.0759,9.04,0.045499
0.0,0.5,20,13,0.045,-1.0677,8.885,0.045002
0.0,0.5,20,14,0.03,-1.1158,9.79,0.0505
0.0,0.5,20,15,0.05,-1.06,9.245,0.044501
0.0,0.5,20,16,0.015,-1.1149,8.735,0.038497
0.0,0.5,20,17,0.02,-1.1024,8.365,0.035504
0.0,0.5,20,18,0.035,-1.0943,9.215,0.038998
0.0,0.5,20,19,0.025,-1.1209,10.28,0.042999
0.0,0.5,20,20,0.05,-1.0767,9.835,0.044
0.0,0.5,20,21,0.045,-1.0581,8.405,0.040499
0.0,0.5,20,22,0.065,-1.059,10.45,0.052501
0.0,0.5,20,23,0.08,-0.9977,9.375,0.039999
0.0,0.5,20,24,0.045,-1.0737,9.185,0.04
0.0,0.5,20,25,0.03,-1.0884,8.42,0.039
0.0,0.5,20,26,0.035,-1.0882,8.91,0.0395
0.0,0.5,20,27,0.02,-1.1135,8.92,0.038499
0.0,0.5,20,28,0.035,-1.0918,9.09,0.040002
0.0,0.5,20,29,0.02,-1.1311,9.555,0.046888
0.0,0.5,20,30,0.055,-1.0606,9.53,0.0475
0.0,0.5,20,31,0.035,-1.0862,8.81,0.039499
0.0,0.5,20,32,0.025,-1.0952,8.505,0.039
0.0,0.5,20,33,0.03,-1.0956,9.025,0.042003
0.0,0.5,20,34,0.05,-1.0532,8.66,0.041499
0.0,0.5,20,35,0.06,-1.0474,9.37,0.040998
0.0,0.5,20,36,0.045,-1.0885,9.925,0.044502
0.0,0.5,20,37,0.065,-1.0462,10.055,0.045001
0.0,0.5,20,38,0.03,-1.1103,9.515,0.043
0.0,0.5,20,39,0.06,-1.0631,10.155,0.048499
0.0,0.5,20,40,0.095,-0.9869,10.09,0.044003
0.0,0.5,20,41,0.055,-1.0653,9.765,0.044999
0.0,0.5,20,42,0.055,-1.0756,10.525,0.047504
0.0,0.5,20,43,0.045,-1.0749,9.245,0.039996
0.0,0.5,20,44,0.04,-1.0876,9.625,0.039503
0.0,0.5,20,45,0.055,-1.0541,9.205,0.044998
0.0,0.5,20,46,0.045,-1.0793,9.465,0.040502
0.0,0.5,20,47,0.025,-1.1328,10.385,0.044997
0.0,0.5,20,48,0.04,-1.079,8.95,0.038001
0.0,0.5,20,49,0.07,-1.0493,10.465,0.044
