window,train_frac,model,seed,selected_epoch,final_train_loss,elapsed_s,test_users,recall@10,recall@10_ci95,ndcg@10,mrr@10,catalog_coverage@10,long_tail_share@10,avg_log_popularity@10,novelty_bits@10,candidate_catalog_size,sampled_negatives,cold_target_users,cold_item_recall@10
1,0.7,tiger_lite_rqkmeans,42,5,2.059422,56.3,218,0.073394,"[0.041284, 0.110092]",0.045964,0.037513,0.021587,0.0,7.153983,8.329816,3706,False,0,
1,0.7,tiger_lite_rqkmeans,43,5,2.051096,55.4,218,0.073394,"[0.041284, 0.110092]",0.043339,0.034021,0.021587,0.000459,7.063622,8.460178,3706,False,0,
1,0.7,tiger_lite_rqkmeans,44,5,2.052246,56.4,218,0.077982,"[0.045872, 0.114679]",0.0428,0.032167,0.022396,0.0,7.098393,8.410015,3706,False,0,
2,0.8,tiger_lite_rqkmeans,42,5,2.067805,56.8,252,0.059524,"[0.031746, 0.09127]",0.029514,0.020662,0.027793,0.000397,7.275812,8.335441,3706,False,0,
2,0.8,tiger_lite_rqkmeans,43,5,2.055956,56.4,252,0.043651,"[0.019841, 0.071429]",0.018652,0.011237,0.028602,0.000794,7.224651,8.409251,3706,False,0,
2,0.8,tiger_lite_rqkmeans,44,5,2.052026,56.7,252,0.035714,"[0.015873, 0.059524]",0.013684,0.007196,0.027523,0.000794,7.203729,8.439436,3706,False,0,
3,0.9,tiger_lite_rqkmeans,42,5,2.070698,67.2,891,0.043771,"[0.031425, 0.058361]",0.0197,0.01258,0.031301,0.001684,7.321985,8.437288,3706,False,4,0.0
3,0.9,tiger_lite_rqkmeans,43,5,2.0577,66.5,891,0.042649,"[0.030303, 0.056117]",0.020096,0.01337,0.035078,0.0,7.284835,8.490885,3706,False,4,0.0
3,0.9,tiger_lite_rqkmeans,44,5,2.058677,66.3,891,0.051627,"[0.038159, 0.06734]",0.026274,0.018566,0.031301,0.0,7.295989,8.474792,3706,False,4,0.0
