976,-124.61,61
1024,-84.13,64
1168,-219.52,73
1184,-129.07,74
1184,-168.40,74
1216,-187.60,76
1296,10.19,81
1312,-192.38,82
1376,-130.55,86
1440,-330.66,90
1504,-282.38,94
1536,-284.97,96
1584,-265.06,99
1600,-201.75,100
1632,-171.12,102
1920,-166.79,120
2272,-101.40,69
2400,-170.38,76
2528,-88.73,62
2592,-503.54,101
2592,-268.29,72
2624,-156.69,82
2640,-260.22,91
2768,-172.92,92
2832,-81.61,77
2976,-458.76,122
3120,-182.10,109
3424,-180.36,112
3440,-123.18,139
3440,-67.14,65
3472,-174.36,123
3568,-241.93,103
3600,-94.52,60
3616,-103.86,84
3696,-84.42,69
3760,31.26,136
3872,-267.74,80
3904,-77.77,71
4208,-342.51,99
4304,-128.81,92
4368,-6.17,87
4464,-168.43,64
4576,-214.94,128
4576,-123.46,72
4624,-391.60,94
4832,-346.81,85
4832,-132.29,77
4848,-112.74,77
4880,-93.74,90
4896,-116.49,75
5008,-105.07,90
5280,-164.31,57
5312,-51.60,69
5360,-382.12,91
5376,28.50,94
5520,-234.54,110
5552,-112.29,61
5760,-191.13,74
5904,-155.66,67
5936,-224.07,102
6144,-189.75,71
6288,-125.14,114
6336,-148.80,107
6352,-230.71,94
6528,-214.67,106
6608,-101.81,107
6640,-101.79,80
6688,-439.43,88
6880,-315.15,125
6928,-60.96,88
7040,-220.68,108
7120,-126.86,74
7200,-99.29,114
7296,-188.77,109
7328,-250.56,98
7392,-127.38,93
7728,-85.11,68
7760,-399.11,89
7872,-179.35,79
8000,-385.17,103
8000,-149.46,116
8016,-150.64,93
8048,-25.37,110
8336,-206.06,81
8432,-101.85,71
8448,-424.71,110
8480,-104.09,80
8576,-98.39,106
8592,-343.33,92
8784,-301.32,116
8832,-114.99,94
8848,-73.01,70
8976,-141.71,61
9136,-382.92,109
9312,51.24,79
9360,-74.80,84
9376,-383.53,86
9488,-100.08,72
9568,-254.19,113
9648,-352.19,111
9760,-108.63,73
9808,-396.67,83
9824,-186.23,61
10032,-446.57,99
10032,-167.44,100
10080,-114.77,94
10384,-486.04,97
10464,-87.70,68
10544,-143.50,98
10656,-137.37,81
10672,-276.00,96
10832,-86.94,63
10880,-289.58,131
10992,-321.80,84
11136,-80.10,114
11168,-296.30,100
11232,-244.36,92
11488,-163.01,105
11520,-236.71,71
11520,-128.08,93
11568,-143.94,130
11568,-377.01,96
11648,-97.46,98
11840,-347.22,81
11936,-68.82,69
12112,-98.25,77
12112,-298.03,91
12176,-74.41,94
12224,-95.83,110
12304,-80.30,71
12480,-86.43,78
12592,-150.82,67
12672,-169.78,72
12704,-88.40,98
12784,-87.91,76
12800,-232.84,82
12928,-164.74,121
12960,-57.39,64
13008,-214.40,73
13152,-70.48,65
13312,-81.01,68
13376,-110.45,75
13376,-349.10,79
13408,-137.37,110
13616,-258.01,128
13808,-74.90,94
13856,-107.77,86
13920,-202.69,62
14032,-76.30,64
14096,-111.50,71
14112,-194.08,90
14128,-97.79,89
14352,-225.18,97
14608,-137.22,114
14720,-221.97,88
15008,-92.96,102
15088,-153.82,105
15104,-287.04,122
15152,-165.00,111
15216,-193.96,100
15248,-144.72,83
15264,-99.68,71
15344,-369.40,93
15376,-94.44,98
15568,-265.22,96
15600,-115.26,93
15664,-113.43,82
15888,-224.43,80
15984,-233.61,118
16096,-54.53,68
16336,-115.19,68
16352,-238.24,75
16464,-283.48,109
16496,-155.98,80
16496,-87.76,87
16656,-126.19,68
16672,-74.57,67
16736,-355.06,103
16768,-204.13,69
17120,-275.48,71
17136,-331.70,78
17232,-116.52,118
17248,-115.48,124
17248,-185.74,72
17376,-53.34,125
17552,-75.71,66
17680,-102.12,74
17680,-110.00,57
17728,-168.56,86
17744,-76.38,88
17952,-263.38,93
17952,-361.15,80
18160,-117.40,65
18176,-117.50,90
18288,-311.75,66
18288,-101.29,72
18384,-159.53,108
18496,-112.25,78
18704,-58.76,61
18816,-114.54,71
18896,-139.22,103
18960,-342.29,80
18960,-115.19,76
19008,-152.35,91
19344,-217.48,123
19440,-115.85,66
19648,-119.29,106
19664,-74.89,107
19840,-202.42,97
19856,-92.94,65
19888,-118.75,100
20016,-177.55,66
20048,-190.26,117
20112,-251.80,88
20112,-157.99,101
20144,-306.53,74
20512,-331.15,147
20768,-142.82,117
20784,-100.22,90
20896,-80.72,78
20896,-136.91,118
20960,-141.27,81
21056,-212.35,73
21200,-79.47,66
21376,-126.86,83
21392,-130.56,80
21520,-145.06,130
21696,-73.82,116
21696,-140.71,115
21920,-103.90,88
22048,-78.82,79
22192,-159.80,136
22224,-145.94,83
22256,-45.85,85
22288,-142.48,136
22400,-84.51,84
22464,-62.75,79
22656,-45.50,71
22720,-333.21,110
22896,-108.86,94
22960,-98.56,79
23280,-228.22,119
23296,-146.92,158
23312,-167.02,101
23632,-88.75,73
23648,-173.47,78
23728,-216.58,105
23808,-354.71,118
23808,-185.72,99
23920,-120.20,108
23936,-349.74,105
23984,-10.26,106
24128,-138.05,92
24240,-134.84,95
24416,-82.47,71
24560,-321.06,100
24672,-182.42,86
24768,-94.98,71
24848,-164.56,75
24864,-299.37,123
24976,-187.24,104
24992,-72.47,74
25104,-176.80,86
25216,-139.72,88
25424,-123.51,90
25504,-84.62,79
25584,-95.24,64
25792,-111.50,86
25904,-1.44,111
25904,-312.46,123
26032,-67.48,74
26160,-352.21,140
26176,-88.98,88
26336,-130.91,84
26368,-119.95,94
26656,-111.06,67
26704,-65.63,127
26736,-364.10,110
26864,-233.31,103
27072,-120.40,123
27072,-294.98,103
27200,-119.16,81
27232,28.63,75
27360,-174.20,116
27648,-198.48,59
27792,-103.35,71
27792,-279.78,125
27968,-231.43,113
27968,-313.37,102
28064,-89.44,75
28080,32.27,107
28128,-150.37,139
28160,-110.50,89
28448,-147.97,78
28528,-124.06,91
28592,29.31,1000
28656,-70.07,155
28720,-121.33,85
28848,-130.45,101
28864,-82.32,67
28992,-93.62,120
29136,-32.41,73
29232,-33.74,67
29360,-314.39,98
29392,49.56,89
29424,-115.10,84
29504,-108.90,86
29536,-94.57,59
29536,-176.44,118
29664,-146.54,76
29792,-106.75,108
29952,-103.75,81
30000,-85.08,80
30288,-141.09,90
30384,-148.54,116
30608,-76.72,78
30704,-129.90,98
30784,-121.49,62
30832,-106.44,90
30832,-295.09,123
30912,-171.89,120
30960,-166.59,96
31072,-210.64,98
31120,-29.42,73
31184,-263.48,103
31264,-130.03,108
31280,-124.62,80
31328,-79.41,131
31616,-88.22,77
31696,-136.35,127
31744,-94.84,91
31952,-86.10,70
32000,-151.46,68
32048,-69.82,68
32080,-153.25,81
32288,-124.03,105
32288,-278.56,73
32336,-244.95,94
32592,-132.45,82
32640,-122.49,121
32704,-112.40,102
32784,-351.71,100
32944,-100.94,105
33008,-98.79,66
33104,-102.30,93
33248,-85.55,78
33296,-72.07,60
33312,-250.82,124
33392,-150.32,82
33424,-113.54,71
33552,-106.44,116
33648,-82.07,59
33664,-425.52,120
33792,-188.27,109
33824,-139.72,96
33936,-98.64,72
34128,-59.18,93
34256,-116.79,104
34368,-105.51,79
34512,-118.26,94
34784,-169.57,70
34816,-135.17,117
35040,-79.52,69
35056,-89.00,79
35152,-154.37,100
35248,-139.13,125
35312,-123.50,126
35344,-126.53,120
35440,-158.68,133
35456,-88.49,75
35472,-146.91,114
35488,-523.59,131
35536,-37.22,73
35840,-292.50,107
35904,-56.81,68
35952,-246.47,90
36192,-93.35,65
36272,-108.82,77
36288,-161.51,94
36480,-134.61,166
36592,-42.48,66
36656,-221.20,73
36752,-77.45,80
36928,-125.61,93
36944,-187.49,100
36960,-96.32,94
37136,-151.26,77
37184,-71.01,117
37232,-320.37,124
37408,-121.02,91
37440,-47.42,72
37520,-366.01,154
37632,-122.99,90
37808,-343.38,96
37856,-89.52,69
38032,-151.19,90
38048,-95.42,70
38160,-216.49,94
38288,24.47,153
38512,-83.97,69
38528,-200.44,68
38544,-89.36,100
38560,-244.48,89
38784,-107.84,97
38880,-69.46,150
38944,-219.26,124
39184,-206.53,97
39216,-4.92,127
39344,-155.89,74
39584,-113.35,108
39584,-112.82,129
39616,-103.49,83
39680,-205.71,102
39776,-126.45,76
39824,-175.18,112
39984,-132.62,75
40208,-116.01,83
40272,-121.42,83
40336,-220.94,114
40400,-90.07,117
40416,-83.76,67
40496,-103.23,168
40720,-172.36,94
40896,-93.01,76
40896,-114.24,80
40944,-202.74,110
40992,-104.71,76
41136,-90.51,58
41168,-81.72,84
41200,-128.17,166
41296,-130.93,107
41392,-147.54,113
41488,-106.76,72
41776,5.95,86
41776,-179.71,85
41792,-55.47,95
41856,-429.16,117
41920,-120.57,75
42256,-55.97,66
42288,-107.41,84
42384,-91.22,62
42464,-198.39,81
42512,3.27,126
42528,-195.81,102
42736,-230.40,115
42736,-215.82,100
42800,-242.82,94
42832,-33.96,115
42848,-87.16,67
42864,-54.24,63
43008,-138.33,76
43040,-359.42,79
43312,-187.21,114
43376,-49.72,91
43664,-97.55,75
43712,-91.37,83
43760,-153.46,77
43888,-97.22,68
43920,-128.53,102
44000,-341.61,109
44016,-199.38,80
44128,-118.47,80
44256,-94.64,59
44304,-321.90,112
44592,-124.82,110
44656,-99.54,101
44800,-124.67,129
44944,-67.28,77
44960,-61.83,75
45008,-225.88,84
45120,-97.04,75
45136,-92.09,71
45152,-94.15,64
45296,-106.15,120
45488,-213.76,164
45664,-353.30,166
45776,-83.17,118
45776,-80.36,110
45856,-104.85,97
46048,-110.61,68
46176,-80.95,73
46208,-124.15,122
46224,-111.08,102
46240,-99.20,81
46352,-126.06,76
46416,-238.44,110
46480,-264.81,105
46800,-130.39,105
46960,-138.59,113
47232,-205.02,91
47296,-166.56,113
47376,-106.50,100
47392,-103.03,96
47440,-205.75,87
47504,-343.92,138
47600,-99.18,121
47600,-169.37,89
47696,-183.31,93
47824,-146.07,84
47888,-100.19,68
47888,-141.99,104
48144,-85.87,119
48240,-85.53,80
48352,-148.71,125
48368,-50.95,122
