lr,1,1.112450,0.492646
lr,2,0.996433,0.511288
lr,3,0.906529,0.532917
lr,4,0.836459,0.556590
lr,5,0.782074,0.581082
lr,6,0.739986,0.605090
lr,7,0.707255,0.627601
lr,8,0.681424,0.648070
lr,9,0.660606,0.666346
lr,10,0.643456,0.682499
lr,11,0.629060,0.696696
lr,12,0.616805,0.709128
lr,13,0.606271,0.719979
lr,14,0.597162,0.729414
lr,15,0.589256,0.737589
fm,1,0.949416,0.631093
fm,2,0.623796,0.757278
fm,3,0.552937,0.781879
fm,4,0.538071,0.787630
fm,5,0.532471,0.790072
fm,6,0.528956,0.791671
fm,7,0.526062,0.792966
fm,8,0.523371,0.794116
fm,9,0.520751,0.795168
fm,10,0.518176,0.796122
fm,11,0.515672,0.796955
fm,12,0.513272,0.797663
fm,13,0.511000,0.798251
fm,14,0.508865,0.798736
fm,15,0.506860,0.799138
deepfm,1,0.744954,0.781308
deepfm,2,0.549519,0.787079
deepfm,3,0.543685,0.788585
deepfm,4,0.539828,0.789729
deepfm,5,0.537103,0.790644
deepfm,6,0.534499,0.791340
deepfm,7,0.532116,0.791873
deepfm,8,0.529978,0.792360
deepfm,9,0.527815,0.792901
deepfm,10,0.525768,0.793569
deepfm,11,0.523818,0.794344
deepfm,12,0.521611,0.795558
deepfm,13,0.519135,0.797074
deepfm,14,0.516038,0.798823
deepfm,15,0.512430,0.801197
lr,1,1.113698,0.503668
lr,2,0.996695,0.518645
lr,3,0.905964,0.535623
lr,4,0.835138,0.554198
lr,5,0.780160,0.573812
lr,6,0.737660,0.593594
lr,7,0.704666,0.612602
lr,8,0.678680,0.630174
fm,1,0.888031,0.609228
fm,2,0.596901,0.681873
fm,3,0.550506,0.705373
fm,4,0.539644,0.716258
fm,5,0.535104,0.722831
fm,6,0.532289,0.727300
fm,7,0.530110,0.730531
fm,8,0.528216,0.732943
deepfm,1,0.775272,0.690702
deepfm,2,0.549216,0.701700
deepfm,3,0.543026,0.708376
deepfm,4,0.540107,0.712973
deepfm,5,0.537804,0.716904
deepfm,6,0.535953,0.720311
deepfm,7,0.533930,0.723734
deepfm,8,0.532036,0.726342
lr,1,1.113698,0.503668
lr,2,0.996695,0.518645
lr,3,0.905964,0.535623
lr,4,0.835138,0.554198
lr,5,0.780160,0.573812
lr,6,0.737660,0.593594
lr,7,0.704666,0.612602
lr,8,0.678680,0.630174
lr,9,0.657780,0.645943
lr,10,0.640597,0.659841
lr,11,0.626200,0.671951
lr,12,0.613967,0.682422
lr,13,0.603474,0.691438
lr,14,0.594419,0.699172
lr,15,0.586578,0.705785
fm,1,0.888031,0.609228
fm,2,0.596901,0.681873
fm,3,0.550506,0.705373
fm,4,0.539644,0.716258
fm,5,0.535104,0.722831
fm,6,0.532289,0.727300
fm,7,0.530110,0.730531
fm,8,0.528216,0.732943
fm,9,0.526470,0.734768
fm,10,0.524804,0.736153
fm,11,0.523178,0.737207
fm,12,0.521562,0.738016
fm,13,0.519929,0.738628
fm,14,0.518259,0.739101
fm,15,0.516534,0.739474
deepfm,1,0.775272,0.690702
deepfm,2,0.549216,0.701700
deepfm,3,0.543026,0.708376
deepfm,4,0.540107,0.712973
deepfm,5,0.537804,0.716904
deepfm,6,0.535953,0.720311
deepfm,7,0.533930,0.723734
deepfm,8,0.532036,0.726342
deepfm,9,0.530281,0.728500
deepfm,10,0.528336,0.730267
deepfm,11,0.526726,0.732260
deepfm,12,0.524811,0.734162
deepfm,13,0.522598,0.735978
deepfm,14,0.519991,0.737262
deepfm,15,0.517368,0.739059
