update,objective_return,user_return,net_return,tool_rate,entropy,loss,elapsed_s
1,13.684375,14.8625,13.684375,0.624172,0.66378,-0.05701,0.959
2,14.484375,15.675,14.484375,0.610577,0.663181,-0.040255,1.909
3,14.61875,15.8625,14.61875,0.62776,0.661521,-0.030327,2.852
4,12.790625,13.934375,12.790625,0.629948,0.660377,-0.048796,3.768
5,13.421875,14.646875,13.421875,0.639478,0.659492,-0.041316,4.707
6,14.528125,15.875,14.528125,0.673438,0.658892,-0.019754,5.656
7,13.478125,14.609375,13.478125,0.608403,0.657558,-0.042796,6.54
8,13.3,14.478125,13.3,0.631491,0.655593,-0.045156,7.427
9,14.709375,16.03125,14.709375,0.660937,0.654692,0.015024,8.375
10,14.203125,15.453125,14.203125,0.64,0.653758,-0.048922,9.315
11,13.509375,14.678125,13.509375,0.600321,0.652895,-0.027223,10.243
12,13.503125,14.728125,13.503125,0.645799,0.65241,-0.04592,11.143
13,14.0375,15.284375,14.0375,0.63434,0.650455,-0.053204,12.078
14,14.815625,16.125,14.815625,0.654687,0.650143,-0.043876,13.023
15,14.903125,16.25,14.903125,0.673438,0.648346,-0.024938,13.97
16,14.603125,15.903125,14.603125,0.659271,0.647979,-0.02782,14.906
17,14.434375,15.7125,14.434375,0.647152,0.646202,-0.035931,15.887
18,14.696875,15.96875,14.696875,0.635938,0.645203,-0.026275,16.844
19,14.634375,15.85,14.634375,0.619427,0.644078,-0.011772,17.778
20,14.190625,15.4625,14.190625,0.643987,0.642947,-0.038175,18.715
21,14.553125,15.83125,14.553125,0.655449,0.641515,-0.022684,19.646
22,14.6875,16.0125,14.6875,0.677316,0.640754,-0.033713,20.578
23,15.15625,16.5625,15.15625,0.703125,0.640194,-0.021725,21.526
24,14.565625,15.81875,14.565625,0.638535,0.63821,-0.050205,22.458
25,13.35625,14.534375,13.35625,0.629382,0.636945,-0.042981,23.394
26,14.30625,15.63125,14.30625,0.675159,0.635708,-0.041072,24.328
27,14.321875,15.696875,14.321875,0.701754,0.634556,-0.048668,25.256
28,14.253125,15.55625,14.253125,0.670418,0.633878,-0.045759,26.175
29,13.7375,15.046875,13.7375,0.681301,0.631861,-0.045221,27.082
30,14.64375,16.03125,14.64375,0.69375,0.630723,-0.045172,28.026
31,13.971875,15.3,13.971875,0.670347,0.62947,-0.03976,28.961
32,12.865625,14.128125,12.865625,0.685908,0.627489,-0.059863,29.839
33,14.225,15.515625,14.225,0.6608,0.625766,-0.076513,30.827
34,15.06875,16.5,15.06875,0.715625,0.624209,-0.033561,31.783
35,15.04375,16.4375,15.04375,0.696875,0.622838,-0.026333,32.741
36,13.703125,15.009375,13.703125,0.677472,0.620762,-0.054084,33.679
37,14.496875,15.8125,14.496875,0.657813,0.619126,-0.045723,34.656
38,14.259375,15.596875,14.259375,0.691438,0.617818,-0.064528,35.579
39,14.775,16.125,14.775,0.675,0.61677,-0.050442,36.529
40,15.05625,16.46875,15.05625,0.70625,0.61446,-0.030936,37.479
