epoch,loss,valid_hit@10,valid_mrr,seconds
1,1.857416,0.559966,0.445334,2.5
2,1.482805,0.592334,0.462678,2.2
3,1.430403,0.594719,0.465358,2.2
4,1.394424,0.596082,0.464292,2.2
5,1.362217,0.5954,0.466597,2.2
6,1.326119,0.601193,0.469497,2.2
7,1.287203,0.60971,0.47277,2.2
8,1.248559,0.619762,0.477073,2.2
9,1.213156,0.613629,0.478967,2.2
10,1.180492,0.626917,0.48737,2.2
11,1.15207,0.627939,0.489935,2.2
12,1.126869,0.631857,0.493878,2.2
13,1.106135,0.633049,0.495599,2.2
14,1.086193,0.637479,0.498068,2.2
15,1.067467,0.638842,0.501697,2.2
16,1.053101,0.641227,0.505794,2.2
17,1.036062,0.641908,0.506949,2.2
18,1.023491,0.640716,0.509133,2.2
19,1.00922,0.640204,0.509445,2.2
20,0.998385,0.647019,0.511177,2.2
