tool_cost,algo,seed,policy,avg_user_reward,avg_net_reward,avg_session_length,avg_genre_diversity,tool_rate
0.15,reinforce,43,heuristic_gain_gate,17.958333,15.348333,20.0,2.466667,0.87
0.15,reinforce,43,learned_argmax,2.7675,2.7675,7.408333,1.008333,0.0
0.15,reinforce,43,learned_sample,11.295,10.315,16.8,2.175,0.388889
0.15,reinforce,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.15,reinforce,44,always_tool,17.958333,14.958333,20.0,2.458333,1.0
0.15,reinforce,44,heuristic_gain_gate,17.958333,15.348333,20.0,2.458333,0.87
0.15,reinforce,44,learned_argmax,17.958333,14.958333,20.0,2.458333,1.0
0.15,reinforce,44,learned_sample,15.736667,13.827917,19.8,2.416667,0.642677
0.15,grpo,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.15,grpo,42,always_tool,17.958333,14.958333,20.0,2.466667,1.0
0.15,grpo,42,heuristic_gain_gate,17.958333,15.340833,20.0,2.466667,0.8725
0.15,grpo,42,learned_argmax,17.958333,14.958333,20.0,2.466667,1.0
0.15,grpo,42,learned_sample,16.453333,14.294583,19.966667,2.383333,0.720785
0.15,grpo,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.15,grpo,43,always_tool,17.958333,14.958333,20.0,2.466667,1.0
0.15,grpo,43,heuristic_gain_gate,17.958333,15.348333,20.0,2.466667,0.87
0.15,grpo,43,learned_argmax,8.450833,8.120833,15.408333,2.033333,0.14278
0.15,grpo,43,learned_sample,12.6975,11.42625,17.691667,2.233333,0.479039
0.15,grpo,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.15,grpo,44,always_tool,17.958333,14.958333,20.0,2.458333,1.0
0.15,grpo,44,heuristic_gain_gate,17.958333,15.348333,20.0,2.458333,0.87
0.15,grpo,44,learned_argmax,17.958333,14.958333,20.0,2.458333,1.0
0.15,grpo,44,learned_sample,16.0875,14.05625,19.875,2.358333,0.681342
0.3,reinforce,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.3,reinforce,42,always_tool,17.958333,11.958333,20.0,2.466667,1.0
0.3,reinforce,42,heuristic_gain_gate,17.958333,12.723333,20.0,2.466667,0.8725
0.3,reinforce,42,learned_argmax,17.958333,11.958333,20.0,2.466667,1.0
0.3,reinforce,42,learned_sample,15.905833,12.088333,19.941667,2.366667,0.638111
0.3,reinforce,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.3,reinforce,43,always_tool,17.958333,11.958333,20.0,2.466667,1.0
0.3,reinforce,43,heuristic_gain_gate,17.958333,12.738333,20.0,2.466667,0.87
0.3,reinforce,43,learned_argmax,2.7675,2.7675,7.408333,1.008333,0.0
0.3,reinforce,43,learned_sample,11.295,9.335,16.8,2.175,0.388889
0.3,reinforce,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.3,reinforce,44,always_tool,17.958333,11.958333,20.0,2.458333,1.0
0.3,reinforce,44,heuristic_gain_gate,17.958333,12.738333,20.0,2.458333,0.87
0.3,reinforce,44,learned_argmax,17.958333,11.958333,20.0,2.458333,1.0
0.3,reinforce,44,learned_sample,15.72,11.92,19.8,2.416667,0.639731
0.3,grpo,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.3,grpo,42,always_tool,17.958333,11.958333,20.0,2.466667,1.0
0.3,grpo,42,heuristic_gain_gate,17.958333,12.723333,20.0,2.466667,0.8725
0.3,grpo,42,learned_argmax,17.958333,11.958333,20.0,2.466667,1.0
