update,objective_return,user_return,net_return,tool_rate,entropy,loss,elapsed_s
1,14.215625,14.8625,13.684375,0.624172,0.66378,-0.057496,1.125
2,14.985938,15.675,14.484375,0.610577,0.663181,-0.041274,2.058
3,15.195312,15.8625,14.61875,0.62776,0.661519,-0.031008,3.004
4,13.317187,13.934375,12.790625,0.629948,0.66037,-0.051009,3.876
5,13.9625,14.646875,13.421875,0.639478,0.659479,-0.04324,4.794
6,15.06875,15.875,14.528125,0.673438,0.658871,-0.021486,5.744
7,13.93125,14.609375,13.478125,0.608403,0.657524,-0.045113,6.634
8,13.853125,14.478125,13.3,0.631491,0.655544,-0.046491,7.522
9,15.315625,16.03125,14.709375,0.660937,0.654631,0.01214,8.507
10,14.770312,15.453125,14.203125,0.64,0.653655,-0.050652,9.436
11,14.03125,14.678125,13.509375,0.600321,0.652755,-0.028991,10.361
12,14.0125,14.728125,13.5,0.647446,0.652232,-0.046325,11.286
13,14.625,15.284375,14.0375,0.63434,0.650245,-0.055048,12.235
14,15.3625,16.125,14.815625,0.654687,0.649906,-0.047007,13.177
15,15.540625,16.25,14.903125,0.673438,0.648078,-0.027242,14.125
16,15.14375,15.903125,14.603125,0.659271,0.647677,-0.030779,15.065
17,15.015625,15.7125,14.434375,0.647152,0.645861,-0.036925,16.005
18,15.242188,15.96875,14.696875,0.635938,0.644828,-0.029199,16.959
19,15.153125,15.85,14.634375,0.619427,0.643661,-0.013485,17.885
20,14.740625,15.4625,14.190625,0.643987,0.642486,-0.039986,18.826
21,15.154688,15.8625,14.58125,0.657051,0.641017,-0.030334,19.751
22,15.298437,16.04375,14.715625,0.678914,0.640228,-0.037458,20.677
23,15.725,16.5625,15.153125,0.704688,0.63955,-0.025745,21.64
24,15.128125,15.85,14.59375,0.640127,0.637505,-0.054,22.574
25,13.867188,14.534375,13.353125,0.631052,0.636157,-0.045489,23.501
26,14.91875,15.63125,14.303125,0.676752,0.634838,-0.045235,24.436
27,14.989062,15.728125,14.35,0.703349,0.633613,-0.050733,25.365
28,14.792188,15.55625,14.253125,0.670418,0.632861,-0.046458,26.293
29,14.940625,15.703125,14.346875,0.683465,0.630784,-0.050395,27.234
30,15.25,16.03125,14.63125,0.7,0.629545,-0.041348,28.176
31,14.284375,15.05,13.728125,0.667192,0.628151,-0.049325,29.114
32,13.379687,14.08125,12.809375,0.685185,0.626134,-0.078951,29.996
33,14.870313,15.56875,14.275,0.669903,0.624602,-0.045162,30.957
34,15.435937,16.21875,14.78125,0.71875,0.622869,-0.037518,31.908
35,15.079687,15.85625,14.49375,0.696486,0.621528,-0.064671,32.834
36,15.192187,15.9375,14.575,0.68125,0.619406,-0.019838,33.779
37,15.154688,15.875,14.565625,0.654687,0.617612,-0.055299,34.736
38,15.33125,16.0875,14.728125,0.688291,0.616291,-0.029733,35.672
39,15.5875,16.40625,15.0375,0.684375,0.615563,-0.041632,36.63
40,15.5125,16.3125,14.884375,0.714063,0.613138,-0.02874,37.584
