two_tower,1,6.717467,0.079673,0.037313
two_tower,2,6.429043,0.076577,0.038977
two_tower,3,6.352495,0.081926,0.039937
two_tower,4,6.308932,0.086430,0.039415
two_tower,5,6.278655,0.090372,0.042390
two_tower,6,6.255991,0.084459,0.040277
two_tower,7,6.237588,0.083052,0.040309
two_tower,8,6.220869,0.085867,0.040896
two_tower,9,6.207022,0.092624,0.043435
two_tower,10,6.193981,0.093187,0.043424
two_tower,11,6.182431,0.091216,0.042920
two_tower,12,6.171558,0.087838,0.041721
two_tower,13,6.162248,0.096847,0.044103
two_tower,14,6.153128,0.093468,0.043884
two_tower,15,6.144535,0.090653,0.042316
two_tower,16,6.137170,0.095158,0.044664
two_tower,17,6.130764,0.095721,0.044382
two_tower,18,6.124698,0.101070,0.047574
two_tower,19,6.118708,0.098536,0.046310
two_tower,20,6.113773,0.092342,0.044459
two_tower,21,6.108858,0.096284,0.044515
two_tower,22,6.104302,0.090653,0.043455
two_tower,23,6.100086,0.096565,0.046658
two_tower,24,6.096439,0.096002,0.044941
two_tower,25,6.092535,0.096002,0.044787
two_tower,26,6.088805,0.099662,0.048181
two_tower,27,6.085889,0.094876,0.045538
two_tower,28,6.082403,0.092342,0.043716
two_tower,29,6.079237,0.095158,0.045162
two_tower,30,6.076791,0.097410,0.046072
