seed,policy,sessions,avg_user_reward,avg_net_reward,avg_session_length,avg_genre_diversity,avg_budget_spent,tool_calls_per_decision,multi_tool_decision_rate,invalid_action_rate,agent_actions_per_decision,tool_mix,selected_source_share
48,budgeted_rule,120,15.860833,15.370917,19.975,3.725,0.489917,0.607843,0.0,0.0,1.607843,"{""diversity_search"": 0.482498, ""fatigue_scan"": 0.517502, ""preference_probe"": 0.0}","{""baseline"": 0.470588, ""diversity_search"": 0.215686, ""fatigue_scan"": 0.313725}"
48,oracle_one_step,120,16.811667,16.266167,19.966667,5.125,0.5455,0.751252,0.0,0.0,1.751252,"{""diversity_search"": 0.681667, ""fatigue_scan"": 0.318333, ""preference_probe"": 0.0}","{""baseline"": 0.248748, ""diversity_search"": 0.512104, ""fatigue_scan"": 0.239149}"
48,random_unmasked,120,10.055,7.43775,16.116667,3.558333,0.586833,0.592554,0.168046,0.612725,4.112203,"{""diversity_search"": 0.380454, ""fatigue_scan"": 0.347295, ""preference_probe"": 0.272251}","{""baseline"": 0.634436, ""diversity_search"": 0.107549, ""fatigue_scan"": 0.149948, ""preference_probe"": 0.108066}"
48,learned_masked_grpo_argmax,120,2.740833,2.740833,7.591667,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
48,learned_masked_grpo_sample,120,10.9825,10.432167,17.008333,3.391667,0.550333,0.588927,0.171975,0.0,1.588927,"{""diversity_search"": 0.341098, ""fatigue_scan"": 0.490849, ""preference_probe"": 0.168053}","{""baseline"": 0.633023, ""diversity_search"": 0.073003, ""fatigue_scan"": 0.22636, ""preference_probe"": 0.067614}"
49,stop_and_serve,120,2.725833,2.725833,7.575,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
49,fatigue_then_serve,120,12.56,11.96,18.233333,2.366667,0.6,0.658135,0.0,0.0,1.658135,"{""diversity_search"": 0.0, ""fatigue_scan"": 1.0, ""preference_probe"": 0.0}","{""baseline"": 0.452468, ""fatigue_scan"": 0.547532}"
49,preference_then_serve,120,6.748333,6.148333,12.266667,2.2,0.6,0.407609,0.0,0.0,1.407609,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 1.0}","{""baseline"": 0.650136, ""preference_probe"": 0.349864}"
49,budgeted_rule,120,15.869167,15.379083,19.975,3.716667,0.490083,0.607843,0.0,0.0,1.607843,"{""diversity_search"": 0.481812, ""fatigue_scan"": 0.518188, ""preference_probe"": 0.0}","{""baseline"": 0.470588, ""diversity_search"": 0.215269, ""fatigue_scan"": 0.314143}"
49,oracle_one_step,120,16.828333,16.28325,19.966667,5.15,0.545083,0.751669,0.0,0.0,1.751669,"{""diversity_search"": 0.684064, ""fatigue_scan"": 0.315936, ""preference_probe"": 0.0}","{""baseline"": 0.248331, ""diversity_search"": 0.51419, ""fatigue_scan"": 0.237479}"
49,random_unmasked,120,9.9325,7.456417,16.091667,3.658333,0.589833,0.590886,0.161574,0.595736,3.935267,"{""diversity_search"": 0.370727, ""fatigue_scan"": 0.351446, ""preference_probe"": 0.277826}","{""baseline"": 0.636976, ""diversity_search"": 0.111859, ""fatigue_scan"": 0.142931, ""preference_probe"": 0.108234}"
49,learned_masked_grpo_argmax,120,2.725833,2.725833,7.575,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
49,learned_masked_grpo_sample,120,11.68,11.1425,17.783333,3.725,0.5375,0.592784,0.157919,0.0,1.592784,"{""diversity_search"": 0.462451, ""fatigue_scan"": 0.391304, ""preference_probe"": 0.146245}","{""baseline"": 0.625586, ""diversity_search"": 0.124649, ""fatigue_scan"": 0.184161, ""preference_probe"": 0.065604}"
50,stop_and_serve,120,2.7475,2.7475,7.608333,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
50,fatigue_then_serve,120,12.56,11.96,18.233333,2.375,0.6,0.658135,0.0,0.0,1.658135,"{""diversity_search"": 0.0, ""fatigue_scan"": 1.0, ""preference_probe"": 0.0}","{""baseline"": 0.451097, ""fatigue_scan"": 0.548903}"
50,preference_then_serve,120,6.764167,6.164167,12.275,2.2,0.6,0.407332,0.0,0.0,1.407332,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 1.0}","{""baseline"": 0.649695, ""preference_probe"": 0.350305}"
50,budgeted_rule,120,15.869167,15.378333,19.975,3.725,0.490833,0.60826,0.0,0.0,1.60826,"{""diversity_search"": 0.48011, ""fatigue_scan"": 0.51989, ""preference_probe"": 0.0}","{""baseline"": 0.468919, ""diversity_search"": 0.215686, ""fatigue_scan"": 0.315394}"
50,oracle_one_step,120,16.836667,16.29075,19.966667,5.183333,0.545917,0.755008,0.0,0.0,1.755008,"{""diversity_search"": 0.689331, ""fatigue_scan"": 0.310669, ""preference_probe"": 0.0}","{""baseline"": 0.244992, ""diversity_search"": 0.520451, ""fatigue_scan"": 0.234558}"
50,random_unmasked,120,9.865833,7.285917,15.925,3.558333,0.587833,0.594453,0.174778,0.610756,4.096285,"{""diversity_search"": 0.368838, ""fatigue_scan"": 0.352993, ""preference_probe"": 0.278169}","{""baseline"": 0.638932, ""diversity_search"": 0.105181, ""fatigue_scan"": 0.140241, ""preference_probe"": 0.115646}"
50,learned_masked_grpo_argmax,120,2.824167,2.821917,7.675,1.025,0.00225,0.009772,0.0,0.0,1.009772,"{""diversity_search"": 1.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 0.994571, ""diversity_search"": 0.005429}"
50,learned_masked_grpo_sample,120,10.231667,9.642167,16.266667,3.783333,0.5895,0.668033,0.223361,0.0,1.668033,"{""diversity_search"": 0.463957, ""fatigue_scan"": 0.342791, ""preference_probe"": 0.193252}","{""baseline"": 0.624488, ""diversity_search"": 0.124488, ""fatigue_scan"": 0.171107, ""preference_probe"": 0.079918}"
51,stop_and_serve,120,2.7525,2.7525,7.641667,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
51,fatigue_then_serve,120,12.545833,11.945833,18.208333,2.391667,0.6,0.659039,0.0,0.0,1.659039,"{""diversity_search"": 0.0, ""fatigue_scan"": 1.0, ""preference_probe"": 0.0}","{""baseline"": 0.450801, ""fatigue_scan"": 0.549199}"
51,preference_then_serve,120,6.759167,6.159167,12.241667,2.208333,0.6,0.408441,0.0,0.0,1.408441,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 1.0}","{""baseline"": 0.650102, ""preference_probe"": 0.349898}"
51,budgeted_rule,120,15.8525,15.361417,19.975,3.741667,0.491083,0.608678,0.0,0.0,1.608678,"{""diversity_search"": 0.480466, ""fatigue_scan"": 0.519534, ""preference_probe"": 0.0}","{""baseline"": 0.468919, ""diversity_search"": 0.215686, ""fatigue_scan"": 0.315394}"
51,oracle_one_step,120,16.845,16.299083,19.966667,5.208333,0.545917,0.756678,0.0,0.0,1.756678,"{""diversity_search"": 0.693326, ""fatigue_scan"": 0.306674, ""preference_probe"": 0.0}","{""baseline"": 0.243322, ""diversity_search"": 0.524624, ""fatigue_scan"": 0.232053}"
51,random_unmasked,120,9.823333,7.250167,16.183333,3.475,0.588583,0.563852,0.158084,0.610641,4.016478,"{""diversity_search"": 0.355251, ""fatigue_scan"": 0.336073, ""preference_probe"": 0.308676}","{""baseline"": 0.646241, ""diversity_search"": 0.099897, ""fatigue_scan"": 0.137487, ""preference_probe"": 0.116375}"
51,learned_masked_grpo_argmax,120,2.7525,2.7525,7.641667,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
51,learned_masked_grpo_sample,120,10.969167,10.398083,16.975,3.85,0.571083,0.627393,0.193422,0.0,1.627393,"{""diversity_search"": 0.429577, ""fatigue_scan"": 0.395931, ""preference_probe"": 0.174491}","{""baseline"": 0.623466, ""diversity_search"": 0.114384, ""fatigue_scan"": 0.185076, ""preference_probe"": 0.077074}"
