100,0.938,6.0740
200,0.875,6.9100
300,0.812,6.8660
400,0.750,6.6240
500,0.688,6.2500
600,0.625,6.5360
700,0.562,6.7120
800,0.500,5.9640
900,0.438,5.8320
1000,0.375,5.6560
1100,0.312,4.5120
1200,0.250,4.1380
1300,0.188,4.8640
1400,0.125,4.7100
1500,0.062,4.6880
1600,0.050,3.5000
1700,0.050,3.5440
1800,0.050,3.4780
1900,0.050,4.2040
2000,0.050,3.9180
