seed,policy,sessions,avg_user_reward,avg_net_reward,avg_session_length,avg_genre_diversity,avg_budget_spent,tool_calls_per_decision,multi_tool_decision_rate,invalid_action_rate,agent_actions_per_decision,tool_mix,selected_source_share
42,stop_and_serve,20,2.655,2.655,7.45,1.0,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
42,fatigue_then_serve,20,12.82,12.22,18.3,2.5,0.6,0.655738,0.0,0.0,1.655738,"{""diversity_search"": 0.0, ""fatigue_scan"": 1.0, ""preference_probe"": 0.0}","{""baseline"": 0.456284, ""fatigue_scan"": 0.543716}"
42,preference_then_serve,20,6.78,6.18,12.7,2.15,0.6,0.393701,0.0,0.0,1.393701,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 1.0}","{""baseline"": 0.685039, ""preference_probe"": 0.314961}"
42,budgeted_rule,20,16.15,15.656,20.0,3.75,0.494,0.615,0.0,0.0,1.615,"{""diversity_search"": 0.49187, ""fatigue_scan"": 0.50813, ""preference_probe"": 0.0}","{""baseline"": 0.4625, ""diversity_search"": 0.225, ""fatigue_scan"": 0.3125}"
42,oracle_one_step,20,16.805,16.2715,19.95,5.15,0.5335,0.754386,0.0,0.0,1.754386,"{""diversity_search"": 0.727575, ""fatigue_scan"": 0.272425, ""preference_probe"": 0.0}","{""baseline"": 0.245614, ""diversity_search"": 0.548872, ""fatigue_scan"": 0.205514}"
42,random_unmasked,20,10.01,7.314,16.9,3.35,0.591,0.52071,0.147929,0.620944,4.011834,"{""diversity_search"": 0.335227, ""fatigue_scan"": 0.323864, ""preference_probe"": 0.340909}","{""baseline"": 0.674556, ""diversity_search"": 0.088757, ""fatigue_scan"": 0.10355, ""preference_probe"": 0.133136}"
42,learned_masked_grpo_argmax,20,2.655,2.655,7.45,1.0,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
42,learned_masked_grpo_sample,20,10.33,9.756,16.7,3.75,0.574,0.640719,0.209581,0.0,1.640719,"{""diversity_search"": 0.439252, ""fatigue_scan"": 0.383178, ""preference_probe"": 0.17757}","{""baseline"": 0.628743, ""diversity_search"": 0.107784, ""fatigue_scan"": 0.194611, ""preference_probe"": 0.068862}"
