epoch,loss,valid_hit@10,valid_mrr,seconds
1,2.841854,0.660112,0.567548,3.3
2,1.198174,0.698762,0.585599,3.2
3,1.101696,0.704696,0.589365,3.5
4,1.063761,0.702661,0.59094,3.3
5,1.041635,0.704357,0.592651,3.2
6,1.02145,0.705882,0.592499,3.4
7,1.001018,0.705713,0.593427,3.0
8,0.983317,0.708764,0.594131,3.1
9,0.965554,0.70673,0.594142,3.1
10,0.948594,0.706221,0.592828,3.1
11,0.931014,0.712155,0.593427,3.1
12,0.914694,0.708086,0.592525,3.1
13,0.896617,0.707578,0.593478,3.1
14,0.881572,0.707069,0.592879,3.1
15,0.867173,0.70673,0.592619,3.1
16,0.852206,0.706391,0.59262,3.1
17,0.839351,0.704526,0.59376,3.1
18,0.826073,0.704526,0.593785,3.0
19,0.813995,0.704865,0.5954,3.1
20,0.803363,0.70673,0.596884,3.2
